Movie Name,Genre,Rating,Votes,Duration
Marcella,Unknown,8.1,70000.0,Unknown
Under Paris,Unknown,5.2,39000.0,Unknown
Baby John,Unknown,5.0,19000.0,Unknown
Outbreak,Unknown,4.5,1800.0,Unknown
On Falling,Unknown,7.0,1900.0,Unknown
Cheaters,Unknown,4.3,230000.0,Unknown
Hell Hole,Unknown,4.4,1500.0,Unknown
The Wasp,Unknown,6.1,6000.0,Unknown
A House on Fire,Unknown,7.2,4100.0,Unknown
Macbeth,Unknown,7.9,192000.0,Unknown
Gaslit by My Husband: The Morgan Metzer Story,Unknown,6.1,681000.0,Unknown
Dead Money,Unknown,5.8,953000.0,Unknown
Love in the Big City,Unknown,7.4,2300.0,Unknown
The Bibi Files,Unknown,7.6,1900.0,Unknown
Sex,Unknown,6.6,2500.0,Unknown
Milk & Serial,Unknown,6.6,3300.0,Unknown
"Husband, Father, Killer: The Alyssa Pladl Story",Unknown,6.3,515000.0,Unknown
River of Blood,Unknown,4.6,2800.0,Unknown
Sweet Dreams,Unknown,5.5,1900.0,Unknown
Outside,Unknown,5.1,5300.0,Unknown
The Goat Life,Unknown,7.1,50000.0,Unknown
Universal Language,Unknown,6.9,3100.0,Unknown
Touch,Unknown,7.4,7100.0,Unknown
Justice League: Crisis on Infinite Earths - Part Two,Unknown,5.6,6400.0,Unknown
Teri Baaton Mein Aisa Uljha Jiya,Unknown,6.2,56000.0,Unknown
Sound of Hope: The Story of Possum Trot,Unknown,7.1,2500.0,Unknown
Sahbek Rajel,Unknown,7.9,160000.0,Unknown
Jim Henson: Idea Man,Unknown,7.7,4300.0,Unknown
Pegasus 2,Unknown,6.9,1500.0,Unknown
Tyler Perry's Divorce in the Black,Unknown,4.7,3900.0,Unknown
Breathe,Unknown,4.3,8300.0,Unknown
Rita,Unknown,5.5,1200.0,Unknown
Seeking Haven for Mr. Rambo,Unknown,8.0,1800.0,Unknown
Sweethearts,Unknown,5.5,4800.0,Unknown
The Beast Within,Unknown,4.3,6300.0,Unknown
The Prosecutor,Unknown,6.5,4400.0,Unknown
